FirstName,LastName,StartDate,ExitDate,Title,Supervisor,ADEmail,BusinessUnit,EmployeeStatus,EmployeeType,EmployeeClassificationType,TerminationType,DepartmentType,Division,DOB,State,GenderCode,Performance Score,Employee ID,Survey Date,Engagement Score,Satisfaction Score,Training Program Name,Training Type,Training Outcome,Location,Training Cost
Latia,Costa,2022-04-06,2023-07-03,Area Sales Manager,Jacob Braun,latia.costa@bilearner.com,WBL,Active,Full-Time,Temporary,Involuntary,Sales,General - Eng,1942-07-01,CA,Female,Exceeds,3433,2023-03-25,1,5,Customer Service,External,Passed,Lancehaven,295.08
Sharlene,Terry,2020-11-06,2023-01-29,Area Sales Manager,Tracy Marquez,sharlene.terry@bilearner.com,CCDR,Active,Contract,Full-Time,Involuntary,Sales,Engineers,1957-03-07,OR,Female,Fully Meets,3434,2023-04-21,1,4,Leadership Development,Internal,Passed,Jeremyshire,790.15
Joseph,Martins,2022-01-21,2023-06-29,Area Sales Manager,George Jenkins,joseph.martins@bilearner.com,BPC,Active,Part-Time,Temporary,Resignation,Sales,Engineers,1949-11-11,TX,Male,Fully Meets,3436,2023-07-30,5,5,Leadership Development,Internal,Failed,Nicolebury,192.61
Dheepa,Nguyen,2018-08-10,2019-11-04,Area Sales Manager,Brian Miller,dheepa.nguyen@bilearner.com,MSC,Active,Full-Time,Temporary,Retirement,Sales,General - Con,1948-04-06,GA,Female,Fully Meets,3438,2022-10-28,4,2,Technical Skills,Internal,Failed,Nunezmouth,208.17
Bartholemew,Khemmich,2022-05-25,2022-11-27,Area Sales Manager,Charles Parks,bartholemew.khemmich@bilearner.com,EW,Active,Full-Time,Temporary,Involuntary,Sales,Splicing,1981-11-24,CO,Male,Fully Meets,3439,2022-10-30,1,2,Technical Skills,External,Incomplete,Port Margaretview,421.07
Xana,Potts,2019-12-05,2023-02-17,Area Sales Manager,Gregory Walker,xana.potts@bilearner.com,CCDR,Active,Contract,Full-Time,Resignation,Sales,Finance & Accounting,1951-11-06,KY,Female,Fully Meets,3440,2022-09-24,1,4,Communication Skills,External,Failed,Nancyview,649.03
Kaylah,Moon,2019-07-09,2022-06-16,Area Sales Manager,Ashley Scott,kaylah.moon@bilearner.com,PYZ,Active,Full-Time,Full-Time,Retirement,IT/IS,Field Operations,1952-11-24,MA,Male,Exceeds,3442,2022-10-31,2,5,Project Management,External,Failed,Port Davidshire,286.87
Kristen,Tate,2021-04-05,2023-05-12,Area Sales Manager,Lauren Jones,kristen.tate@bilearner.com,WBL,Active,Full-Time,Part-Time,Voluntary,IT/IS,Project Management - Con,1994-04-08,KY,Male,Fully Meets,3443,2023-04-29,2,2,Technical Skills,External,Failed,East Katie,402.13
Bobby,Rodgers,2021-11-28,2022-02-04,Area Sales Manager,Matthew Jackson,bobby.rodgers@bilearner.com,NEL,Active,Contract,Part-Time,Voluntary,Sales,Engineers,1983-11-15,KY,Male,Fully Meets,3444,2022-12-14,1,2,Technical Skills,External,Failed,Jacobburgh,388.84
Mariela,Schultz,2020-05-26,2023-06-18,Area Sales Manager,Michelle Evans MD,mariela.schultz@bilearner.com,CCDR,Future Start,Part-Time,Part-Time,Involuntary,Sales,General - Con,1964-02-17,TX,Female,Fully Meets,3447,2023-05-08,5,1,Customer Service,Internal,Incomplete,Kristenton,353.21
Angela,Molina,2019-10-01,2020-11-06,Area Sales Manager,Patricia Cook,angela.molina@bilearner.com,SVG,Future Start,Full-Time,Temporary,Retirement,Sales,Engineers,1958-05-12,TX,Male,Fully Meets,3448,2023-03-28,5,1,Communication Skills,Internal,Completed,West Jamesview,911.05
Gerald,Preston,2023-05-10,2023-05-27,Area Sales Manager,Ashley Reeves,gerald.preston@bilearner.com,EW,Future Start,Contract,Temporary,Involuntary,Sales,General - Eng,1992-09-18,CO,Male,Fully Meets,3449,2023-06-30,3,2,Communication Skills,External,Completed,Josebury,242.21
Reilly,Moyer,2020-09-01,2022-12-04,Area Sales Manager,Stanley Harvey,reilly.moyer@bilearner.com,MSC,Active,Contract,Temporary,Resignation,Sales,Field Operations,1994-08-11,CO,Male,Exceeds,3450,2023-01-18,4,3,Technical Skills,Internal,Completed,South Benjaminfurt,186.07
Carlee,French,2021-02-18,2022-11-11,Area Sales Manager,Michael Bradshaw,carlee.french@bilearner.com,TNS,Active,Contract,Full-Time,Voluntary,Sales,General - Con,1968-01-15,CO,Male,Exceeds,3451,2023-04-29,5,1,Technical Skills,External,Completed,Duncanview,921.97
Charity,Miranda,2021-06-29,2022-07-05,Area Sales Manager,Daniel Rodriguez,charity.miranda@bilearner.com,WBL,Active,Full-Time,Temporary,Resignation,Sales,Project Management - Eng,1999-01-18,KY,Male,Exceeds,3455,2022-08-12,2,1,Project Management,External,Passed,Wadefurt,220.41
Cory,Robinson,2022-04-28,2023-05-24,Area Sales Manager,Elizabeth Anderson,cory.robinson@bilearner.com,BPC,Future Start,Contract,Full-Time,Voluntary,Sales,Field Operations,1996-08-12,TX,Female,Needs Improvement,3458,2023-02-14,2,5,Communication Skills,Internal,Failed,North Deborahville,409.27
Saniya,Yu,2021-04-18,2022-06-21,Area Sales Manager,Erin Bailey,saniya.yu@bilearner.com,CCDR,Future Start,Part-Time,Full-Time,Retirement,Sales,General - Con,1944-02-09,TX,Male,Exceeds,3459,2022-10-26,4,4,Communication Skills,Internal,Passed,Chapmanbury,168.32
Lincoln,Compton,2019-07-18,2021-10-01,Area Sales Manager,Tammy Conner,lincoln.compton@bilearner.com,EW,Future Start,Full-Time,Part-Time,Resignation,Sales,General - Con,1997-12-29,CO,Male,Needs Improvement,3461,2023-04-24,1,4,Technical Skills,External,Completed,Taylorland,948.43
Aliana,Nolan,2018-09-13,2021-09-17,Area Sales Manager,Brianna Mathews,aliana.nolan@bilearner.com,MSC,Active,Contract,Full-Time,Involuntary,Sales,Field Operations,1942-08-09,CO,Male,Needs Improvement,3462,2022-11-08,3,3,Project Management,External,Completed,Erinville,320.01
